country,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Kosovo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.1,33.8,26.8,26.2,31.5,32.2,31,33.7,31.4,34.2,29,30.1,39.3
Lao,,,,,,,,,,,,,,,29.6,26.3,49,107,222,206,204,182,170,150,134,123,121,136,198,179,152,152,187,131,130,123,117,122,109,113,98.1,86.8,77.4,72.2,75.9,84.5,88.9,90.9,88.9,94,94.8
Lebanon,,,,,,,,,,,,,,,,,,,,30.3,51.6,32.6,29.8,16.7,21.4,24.4,28.5,31.7,40.1,48.3,57.3,77.1,95.8,114,112,107,109,101,149,131,126,125,127,133,135,138,137,140,145,144,222
Liberia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,367,405,432,610,529,498,433,310,202,114,23,19.7,19.3,18.5,23.6,28.5,30.6,36.3,39,43.7,52.1
St. Lucia,,,,,,,,,,,,8.47,9.95,10.2,8.5,8.59,9.86,13.1,14.3,14.3,15.2,14.9,16,16.4,17.7,18.8,19.9,21.1,23.4,22.6,27.1,32.7,36.3,38.6,38.7,42.3,30.9,37.9,61.3,32.4,40.4,29.3,27.6,29.5,32.6,32,31,32.9,31.5,31.9,48.2
Sri Lanka,20.3,24.1,23.6,24.1,24.3,24.3,30.8,32.4,55.2,46.5,45.5,51,54.6,56.2,51.1,59.5,64.1,71.5,74.8,74.8,73.6,73.7,66.9,66.8,68.4,65.3,60.6,54.3,58.3,64.7,57.8,57.9,62.2,57.3,56.7,46.9,42.5,44.3,41.1,46.9,38.6,39.9,53.2,54.2,54.5,55.9,58.2,59.6,61.8,68.8,71.8
Lesotho,9.18,8.79,8.8,5.04,4.24,5.61,5.66,6.85,7.65,10.5,10.4,11.6,17.6,16.7,20.7,34.9,33.6,35,35.4,40.3,41.3,41.4,40.8,46.5,51.6,51.1,55.4,50.9,57.7,57.5,68.1,57.3,63.4,42.6,37.3,30.5,29.3,29.2,29.3,33.4,27.4,26.3,30.3,33.2,32.7,34.9,38.4,35.7,31.5,34.8,50.1
Morocco,25,26.1,23.5,20.8,19.8,29.8,35.4,51.3,53.1,52.5,45.7,61.5,72.7,83.1,96.8,112,94.4,99.3,85.2,87.5,85.4,71.9,69.2,72.2,66.5,62.9,57.5,61.6,57.7,56.4,54.6,48.8,43.5,35.7,28.9,26.3,26.4,26.3,22.8,27,29.7,30.1,35.2,37.3,40.1,44.7,47,47.4,43.6,46.8,58.1
Moldova,,,,,,,,,,,,,,,,,,,,,,,,,,,48.3,54.3,62,98.5,136,112,108,95.7,71.6,65.4,68.8,69.9,56,64.7,63.2,58,55.9,59.7,56.6,74.4,73.1,68.2,62,59.7,68.4
Madagascar,43.8,40.9,38.1,30.6,39.5,34.8,8.75,33.2,13.3,22.4,24.2,34.5,41.2,44.7,57.1,68.8,71.7,121,122,115,98.2,126,110,97.2,122,118,86.9,99.4,103,115,104,78.4,86.5,79.5,76.6,61.5,24.4,27.6,23.8,30,28,25.2,26.6,24.4,24.2,27.5,26,26.4,27.9,29.9,38.5
Maldives,,,,,,,,,,,,,,,,72.8,57.2,61.4,45.1,38.9,40.2,38.2,38.1,40.6,39.4,40.9,39.3,35.6,37.8,39.3,34.2,27.6,30.9,28.8,28.5,32,36.1,48.6,57.7,66.2,40.3,35.6,36,35.1,33,26.6,30.4,34.6,48.7,53.1,96.9
Mexico,20.3,19.8,18.8,19.6,19.9,21.4,27.8,39.4,36.1,32.9,29,30.9,50.1,63.4,54.5,52.1,79.6,77.9,57,44.1,41.4,37.5,31.8,27,27.2,48.1,39.7,30.5,31.2,28.6,22,22.4,20.7,22.1,21.5,19.9,17.8,18.9,18.1,21.8,23.5,25.1,29.7,32.8,34.5,37.4,40.4,39.3,38.3,38.3,45.1
North Macedonia,,,,,,,,,,,,,,,,,,,,,,,,39.7,31.4,27.4,39.6,32,40.1,37.9,40,40.7,42.4,38.7,50.1,48.5,48.2,52.5,44.3,56.2,55.6,59.5,67.9,63.8,64.9,69.4,73.3,78.7,71.3,74.7,89.9
Mali,69.8,68.8,55.3,53.6,65.4,43.4,40.1,44.9,45.7,35.9,41.8,55.2,67,78,102,107,95.4,99,94.3,97.5,92.6,95.5,103,103,131,111,110,119,112,94.8,102,87.2,75.7,67.2,62.1,52.6,23.9,23.3,21.4,22.5,23.8,23.2,25.5,26.8,24.6,28.8,27.7,28.8,28,30.6,36.3
Myanmar,7.72,8.93,11,13.8,11.2,10.4,10.2,14.8,23.1,27.6,29.9,34.3,38.3,40.5,40,49,50.3,51.8,43.4,31.4,25.3,20.4,15.6,11.8,9.34,6.62,4.9,3.8,2.86,2.13,1.75,1.34,0.983,0.699,0.539,0.386,0.305,0.229,0.183,0.17,0.155,0.141,10.2,17.4,16.9,17,17.3,18,16.4,16.7,17.2
Montenegro,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31.8,34.9,32.6,56.6,110,121,149,158,142,151,141,146,144,149,201
Mongolia,,,,,,,,,,,,,,,,,,,,,,,27.5,52.3,51.2,37.2,40.1,51.9,64.6,92.8,84.8,74.7,79.2,97.5,80.4,56.5,44.3,42.1,40.1,68.1,89.7,101,137,162,189,206,240,283,249,251,276
Mozambique,,,,,,,,,,,,,,,,,,,,,,134,206,202,274,269,202,168,163,126,122,87.5,102,89.8,81.7,73.2,56.4,52.9,46.8,52.3,55.2,44.3,43.8,75.5,75.9,90.1,122,123,128,133,154
Mauritania,8.83,12.1,14.9,21.8,27.6,28,56.8,69.1,87.7,77.6,81.9,91.1,107,115,127,152,156,160,152,142,146,106,100,122,121,118,114,119,116,124,131,131,122,110,94.7,76,40.6,59.9,55,65.9,64,56.6,65.4,64.3,71.5,83.4,80.9,78.2,71.4,68.9,73.1
Mauritius,,,,,,,9.15,12.4,18.9,25.6,37.9,46,53.3,48.8,51.3,56,45,42.7,39.4,37.6,35.4,34.6,29.2,27.6,31.1,35.2,32,32.1,30.9,29.9,20.8,18.7,42.1,55.7,50.7,56,49.5,67.7,64.1,79.7,80,88.2,88.6,95.1,92.6,81.4,79.1,109,101,115,156
